n_dim,n_qubits,layers,entangler,test_auc_mean,test_auc_std,train_auc_mean,train_auc_std,off_diag_mean,off_diag_std
2,2,2,chain_entangler,0.8341880341880342,0.02787949817145317,0.8209464005382372,0.01167094713192786,0.4439651379602444,0.2793263555554832
3,3,2,chain_entangler,0.7755799755799755,0.05202324990419528,0.8739179188158779,0.02282375325074849,0.3832325392903211,0.26025104089311124
4,4,2,chain_entangler,0.823931623931624,0.0445449627440121,0.9362188831576586,0.01646762716421613,0.29596448991803426,0.23089568064109273
6,6,2,chain_entangler,0.6783882783882784,0.08314865912588199,0.9729984301412872,0.009468787088544931,0.18509933528352232,0.17162874598774056
8,8,2,chain_entangler,0.6908424908424908,0.0217790477572682,0.9872168647678852,0.012391152563234458,0.19619218106534742,0.17428051432182684
