seed,logreg,rbf,poly,quantum,quantum_angle_max,quantum_C
0,0.5311355311355311,0.8925518925518925,0.8266178266178266,0.8998778998778999,6.283185307179586,31.622776601683793
1,0.5018315018315018,0.9047619047619048,0.9072039072039071,0.8998778998778998,6.283185307179586,3.1622776601683795
2,0.5628815628815629,0.8693528693528694,0.84004884004884,0.8522588522588522,0.8,1000.0
3,0.568986568986569,0.8095238095238095,0.8925518925518926,0.873015873015873,1.0,1000.0
4,0.5347985347985348,0.8241758241758241,0.8583638583638584,0.8742368742368742,6.283185307179586,100.0
