seed,logreg,rbf,poly,quantum
0,0.5311355311355311,0.8925518925518925,0.8266178266178266,0.8803418803418803
1,0.5018315018315018,0.9047619047619048,0.9072039072039071,0.8949938949938949
2,0.5628815628815629,0.8693528693528694,0.84004884004884,0.8498168498168499
3,0.568986568986569,0.8095238095238095,0.8925518925518926,0.873015873015873
4,0.5347985347985348,0.8241758241758241,0.8583638583638584,0.8620268620268621
