n_dim,n_qubits,layers,entangler,test_auc_mean,test_auc_std,train_auc_mean,train_auc_std,off_diag_mean,off_diag_std
2,2,3,none,0.7113553113553114,0.03828262357463332,0.7649697241533977,0.01765640683435505,0.2522455664087435,0.2787112316785531
2,2,3,chain_entangler,0.7819291819291819,0.04309010012232047,0.8043507512895267,0.01715102076451824,0.3258501156605374,0.2532110830152852
