n_dim,n_qubits,layers,entangler,test_auc_mean,test_auc_std,train_auc_mean,train_auc_std,off_diag_mean,off_diag_std
2,2,1,chain_entangler,0.8273504273504273,0.024621876384893736,0.815429468490693,0.01160820568992662,0.6707797494302742,0.2383055390235178
2,2,2,chain_entangler,0.8341880341880342,0.02787949817145317,0.8209464005382372,0.01167094713192786,0.4439651379602444,0.2793263555554832
2,2,3,chain_entangler,0.7819291819291819,0.04309010012232047,0.8043507512895267,0.01715102076451824,0.3258501156605374,0.2532110830152852
2,2,4,chain_entangler,0.5428571428571428,0.07615994504271034,0.49441578829333926,0.03290537093209027,0.3722263842566425,0.26391233788150004
